======                            IBM AIX SSL & SSh levels (ssh -V format)                                  ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of thise report  Wed Jan 15 02:10:01 CST 2020

|Server|SSL Level|SSH Level|
|taitc490|1.0.2o|7.5p1|
|taitc491|1.0.2o|7.5p1|
|tamon055|1.0.2o|7.5p1|
|tamon057|1.0.2o|7.5p1|
|tamonnim1|1.0.2o|7.5p1|
|tamonvio1|1.0.2o|7.5p1|
|tamonvio2|1.0.2o|7.5p1|
|taprvio100|1.0.2o|7.5p1|
|taprvio101|1.0.2o|7.5p1|
|taprvio110|1.0.2o|7.5p1|
|taprvio111|1.0.2o|7.5p1|
|taprvio120|1.0.2o|7.5p1|
|taprvio121|1.0.2o|7.5p1|
|taprvio130|1.0.2o|7.5p1|
|taprvio131|1.0.2o|7.5p1|
|taprvio140|1.0.2o|7.5p1|
|taprvio141|1.0.2o|7.5p1|
|taprvio150|1.0.2o|7.5p1|
|taprvio151|1.0.2o|7.5p1|
|taprvio160|1.0.2o|7.5p1|
|taprvio161|1.0.2o|7.5p1|
|taprvio170|1.0.2o|7.5p1|
|taprvio171|1.0.2o|7.5p1|
|taprvio180|1.0.2o|7.5p1|
|taprvio181|1.0.2o|7.5p1|
|taprvio50|1.0.2o|7.5p1|
|taprvio51|1.0.2o|7.5p1|
|taprvio80|1.0.2o|7.5p1|
|taprvio81|1.0.2o|7.5p1|
|taprvio90|1.0.2o|7.5p1|
|taprvio91|1.0.2o|7.5p1|
|taqa1a03|1.0.2o|7.5p1|
|taqa1a04|1.0.2o|7.5p1|
|taqa1d01|1.0.2o|7.5p1|
|taros492|1.0.2o|7.5p1|
|tasew007|1.0.2o|7.5p1|
|tasew008|1.0.2o|7.5p1|
|tasha493|1.0.2o|7.5p1|
|tedv2d03|1.0.2o|7.5p1|
|tedv2d03|1.0.2o|7.5p1|
|tedv2e01|1.0.2o|7.5p1|
|teprvio10|1.0.2o|7.5p1|
|teprvio11|1.0.2o|7.5p1|
|teprvio20|1.0.2o|7.5p1|
|teprvio21|1.0.2o|7.5p1|
|tndv3d01|1.0.2o|7.5p1|
|tnpr3d01|1.0.2o|7.5p1|
|tnqa3d01|1.0.2o|7.5p1|
|tsdv1d01|1.0.2o|7.5p1|
|tsdv1d02|1.0.2o|7.5p1|
|tspr1d01|1.0.2o|7.5p1|
|tspr1d02|1.0.2o|7.5p1|
|tsqa1d01|1.0.2o|7.5p1|
|tsqa1d02|1.0.2o|7.5p1|
|tssb1d01|1.0.2o|7.5p1|
|xftp1|1.0.2o|7.5p1|
|xggpdb01|1.0.2o|7.5p1|
