======                            IBM AIX SSL & SSh levels (ssh -V format)                                  ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of thise report  Mon Aug 21 02:13:57 CDT 2023

|Server|SSL Level|SSH Level|
|SHA256:5JuX1pCb6pJWTLHPYJWl8wmoleQh5OW29uRuUAH3AbQ.|||
|Please|system||
|Add|key||
|Offending|in||
|Password|disabled||
|Keyboard-interactive|disabled||
|OpenSSH_8.1p1,|20||
|phlypapv004|||
|@|HOST||
|@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|||
|IT|THAT||
|Someone|eavesdropping||
|It|possible||
|The|the||
|SHA256:5JuX1pCb6pJWTLHPYJWl8wmoleQh5OW29uRuUAH3AbQ.|||
|Please|system||
|Add|key||
|Offending|in||
|Password|disabled||
|Keyboard-interactive|disabled||
|OpenSSH_8.1p1,|20||
|phlypapv005|||
|@|HOST||
|@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|||
|IT|THAT||
|Someone|eavesdropping||
|It|possible||
|The|the||
|SHA256:5JuX1pCb6pJWTLHPYJWl8wmoleQh5OW29uRuUAH3AbQ.|||
|Please|system||
|Add|key||
|Offending|in||
|Password|disabled||
|Keyboard-interactive|disabled||
|OpenSSH_8.1p1,|20||
|phlypapv006|||
|@|HOST||
|@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|||
|IT|THAT||
|Someone|eavesdropping||
|It|possible||
|The|the||
|SHA256:5JuX1pCb6pJWTLHPYJWl8wmoleQh5OW29uRuUAH3AbQ.|||
|Please|system||
|Add|key||
|Offending|in||
|Password|disabled||
|Keyboard-interactive|disabled||
|OpenSSH_8.1p1,|20||
|phlypapv007|denied||
|phlypapv009|denied||
|phlypapv010|denied||
|phlypapv011|denied||
|phlypapv012|denied||
|phlypapv013|denied||
|phlypapv014|denied||
|phlypapv015|denied||
|phlypapv016|denied||
|phlypapv017|denied||
|phlypapv018|denied||
|phlypapv019|denied||
|phlypapv020|denied||
|phlypapv023|1.0.2o|7.5p1|
|phlypapv024|1.0.2o|7.5p1|
|phlypapv107|denied||
|phlypcdcbcpaxdb99|not||
|phlypcdcbkpaxdm01|not||
|phlypcdcccsaxdb01|not||
|phlypcdceu3axap01|not||
|phlypcdcforaxap01|not||
|phlypcdcforaxap02|not||
|phlypcdcforaxdb01|not||
|phlypcdch1paxap01|not||
|phlypcdch1paxap99|not||
|phlypcdch1paxdb99|not||
|phlypcdchypaxdb01|not||
|phlypcdcmanaxdb01|not||
|phlypcdcmngaxdb01|not||
|phlypcdcna3axap01|not||
|phlypcdcpaiaxdb01|not||
|phlypcdcpasaxdb01|not||
|phlypcdcpcuaxdb01|not||
|phlypcdcpepaxdb01|not||
|phlypcdcpgtaxdb01|not||
|phlypcdcpgwaxdb01|not||
|phlypcdcpimaxdb01|not||
|phlypcdcpjbaxdb01|not||
|phlypcdcplpaxdb01|not||
|phlypcdcprmaxdb01|not||
|phlypcdcps1axdb01|not||
|phlypcdcps2axdb01|not||
|phlypcdcpscaxdb01|not||
|phlypcdcpsnaxap01|not||
|phlypcdcpsnaxap02|not||
|phlypcdcpsnaxap03|not||
|phlypcdcpsnaxdb01|not||
|phlypcdcpsraxdb01|not||
|phlypcdcptaaxap99|not||
|phlypcdcptaaxdb99|not||
|phlypcdcptaaxfs01|not||
|phlypcdcsapaxrs01|not||
|phlypcdcsspaxdb01|not||
|phlypcdcta2axap99|not||
|phlypcdcta2axdb99|not||
|phlysap2212|not||
|phlysap2213|not||
|phlysap2217|not||
|phlysap2219|not||
|phlyscdcpocaxsv01|not||
|phlysfldmiax119|not||
|phlysfldmiax153|not||
|phlysfldmiax154|not||
