|Array Name|Server Name|WWN|IQN|Host Group|
|cdcvilns015.fmmotorparts.com|cdcvilvm125|20000025B5A40008/20000025B5B40008||NON-PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm126|20000025B5A40020/20000025B5B40020||PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm127|20000025B5A4001E/20000025B5B4001E||PROD-MS2-V6|
|cdcvilns015.fmmotorparts.com|cdcvilvm128|20000025B5A40009/20000025B5B40009||PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm129|20000025B5A40014/20000025B5B40014||PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm130|20000025B5A4001F/20000025B5B4001F||PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm131|20000025B5A4000A/20000025B5B4000A||NON-PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm132|20000025B5A40015/20000025B5B40015||NON-PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|CDCVILVM134|20000025B5A40021/20000025B5B40021|||
|cdcvilns015.fmmotorparts.com|cdcvilvm135|20000025B5A40022/20000025B5B40022||PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm136|20000025B5A40023/20000025B5B40023||PROD-MS2-V6|
|cdcvilns015.fmmotorparts.com|cdcvilvm137|20000025B5A40024/20000025B5B40024||PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm138|20000025B5A20000/20000025B5B20000||PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm141|20000025B5A20008/20000025B5B20008||NON-PROD-MS2|
|cdcvilns015.fmmotorparts.com|CDCVILVM142|20000025B5A20009/20000025B5B20009||Citrix-XA-PROD|
|cdcvilns015.fmmotorparts.com|cdcvilvm143|20000025B5A2000A/20000025B5B2000A||PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|CDCVILVM144|20000025B5A2000B/20000025B5B2000B||Citrix-XA-PROD|
|cdcvilns015.fmmotorparts.com|cdcvilvm145|20000025B5A20005/20000025B5B20005||NON-PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm146|20000025B5A20006/20000025B5B20006||NON-PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm147|20000025B5A20007/20000025B5B20007||NON-PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm153|20000025B5A20014/20000025B5B20014||PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm154|20000025B5A20015/20000025B5B20015||NON-PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm155|20000025B5A20016/20000025B5B20016||FALCON|
|cdcvilns015.fmmotorparts.com|cdcvilvm156|20000025B5A2000F/20000025B5B2000F||PROD-MS2|
|cdcvilns015.fmmotorparts.com|cdcvilvm157|20000025B5A20018/20000025B5B20018||FALCON|
|cdcvilns015.fmmotorparts.com|cdcvilvm158|20000025B5A20019/20000025B5B20019||FALCON|
|cdcvilns015.fmmotorparts.com|cdcvilvm159|20000025B5A2001A/20000025B5B2001A||PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|cdcvilvm161|20000025B5A2001C/20000025B5B2001C||PROD-Linux-MP|
|cdcvilns015.fmmotorparts.com|CDCVILVM168|20000025B5A60000/20000025B5B60000||CDC-FALCON-DMZ1-MP|
|cdcvilns015.fmmotorparts.com|CDCVILVM169|20000025B5A60001/20000025B5B60001||CDC-FALCON-DMZ1-MP|
