^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|37 | taprvio31  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |VIOS31  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|38 | peerap98  |Standby TA2 Central Instance and NFS App Server (Active Pasive Cluster with peerap99)  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F390  |SAP ERP TA2  |  |Eric Van Asbroeck,Srinivas M,John Mclean,Eugenia Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis,Andrew Ellwood,Eric Van Asbroeck,Erich Schwarz,Paul Burke,Thomas Jacob,Will Jiang, Peter Pallen, Thorsten Schimpf| 
|39 | tapr1d01  |PTA ERP SAP Oracle DB Server and SAP Central Instance,NFS Server for PTA,FTA,CTA  |taitc118  |  |  |Lincolnshire  |3  |yes  |powervm  |Server-9117-MMA-SN109F390  |SAP ERP PTA,Oracle DB Server  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|40 | paarap01  |PTA ERP Easy Soft Server, PTA archiving  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F3A0  |NA SAP/PTA-Archive, Easy Soft  |  |TaitiosSapbasis| 
|41 | peerdb98  |TA2 Oracle Standby DB Server dataguard replication from peerdb99   |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F390  |SAP ERP TA2 Oracle DB Server  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|42 | tasew007  |MES Seward Primary Oracle DB Server  |tasew008  |  |  |Seward  |  |no  |  |  |Oracle PMES  |  |Tricia Miller,Ross Parde,David Luong,  Glen Drodge, Todd Davis| 
|43 | tasew008  |MES Seward Standby Oracle DB Server  |tasew007  |  |  |Seward NE  |  |No  |None  |MES-SEC-8203-E4A-SN06EF665  |Oracle PMES  |  |Tricia Miller,Ross Parde,David Luong,Glen Drodge,Todd Davis| 
|44 | tape2012  |OLD ZAP ERP SAP SA DB/App Server used for Historical Reference  |penmsv01  |  |  |Port Elizabeth  |11  |yes  |powervm  |tape2012  |SAP ZAP  |  || 
|45 | taede651  |MES Primary Oracle DB Server Edenkoben  |taede057  |  |  |Edenkoben  |11  |yes  |powervm  |taede651-8202-E4B-SN065BA0P  |Oracle, PMES  |  || 
|46 | taede652  |MES Standby Oracle DB Server Edenkoben  |taede057  |  |  |Edenkoben  |11  |yes  |powervm  |taede652-8202-E4B-SN065BA7P  |Oracle, PMES  |  || 
|47 | ftp1  | Eng and Marketing DMZ FTP server ITOC   |taitc118  |  |  |Lincolnshire  | RACK #5   |NO  |No  | IBM,9131-52A  | Secure FTP Only  |  |Carri Irby,Karen Ameel| 
|48 | atlasdr  |  |  |  |  |  |  |  |  |  |  |  || 
|49 | taitc118  |Primary Lincolnshire NIM Server - Infrastructure  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |AIX Network Installation manager-NIM  |  |GIOS UNIX Team| 
|50 | paft3p01  |Primary PTA EDI Gentran Primary FTP Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |PAFT3P02-8203-E4A-SN06C17A2  |EDI Gentran FTP and Secure FTP  |  | EDI Team| 
|51 | unixsandbox1  |UNIX sandbox server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |AIX Network Installation manager-NIM  |  |GIOS UNIX Team| 
|52 | taprvio40  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |VIOS40  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|53 | taprvio41  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |VIOS41  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|54 | qamesd02  |MES Standby DB Server Dataguard replication from qamesdb01  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SCADA Oracle DB Server - primary  |  |Glen Drodge,Zigor Arosa| 
|55 | qamesd01  |MES Primary DB Server Dataguard replication to qamesdb02  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SCADA Oracle DB Server - primary  |  || 
